package name,file,class,type,uniqueWordsQty,is_UD
org.quickserver.net.client,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\HttpHost.java,org.quickserver.net.client.HttpHost,class,415,1
org.quickserver.net.client.loaddistribution,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\loaddistribution\LoadPattern.java,org.quickserver.net.client.loaddistribution.LoadPattern,interface,148,0
org.quickserver.net.client.monitoring.impl,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\monitoring\impl\UDPMonitor.java,org.quickserver.net.client.monitoring.impl.UDPMonitor,class,271,0
org.quickserver.net.client.pool,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\client\pool\PooledBlockingClient.java,org.quickserver.net.client.pool.PooledBlockingClient,class,252,0
org.quickserver.net.qsadmin,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\qsadmin\Data.java,org.quickserver.net.qsadmin.Data,class,430,0
org.quickserver.net.qsadmin.gui,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\qsadmin\gui\SplashScreen.java,org.quickserver.net.qsadmin.gui.SplashScreen,class,1054,0
org.quickserver.net.server,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\GhostSocketReaper.java,org.quickserver.net.server.GhostSocketReaper,class,1373,0
org.quickserver.net.server.gui,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\gui\About.java,org.quickserver.net.server.gui.About,class,74,0
org.quickserver.net.server.impl,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\net\server\impl\SyncClientIdentifier.java,org.quickserver.net.server.impl.SyncClientIdentifier,class,1107,0
org.quickserver.security,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\security\SecureStoreManager.java,org.quickserver.security.SecureStoreManager,class,212,0
org.quickserver.sql,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\sql\DBPoolUtil.java,org.quickserver.sql.DBPoolUtil,interface,67,1
org.quickserver.swing,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\swing\SensitiveInput.java,org.quickserver.swing.SensitiveInput,class,115,1
org.quickserver.util,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\TextFile.java,org.quickserver.util.TextFile,class,356,0
org.quickserver.util.io,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\io\PasswordField.java,org.quickserver.util.io.PasswordField,class,323,1
org.quickserver.util.logging,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\logging\SimpleTextFormatter.java,org.quickserver.util.logging.SimpleTextFormatter,class,252,0
org.quickserver.util.pool,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\QSObjectPoolMaker.java,org.quickserver.util.pool.QSObjectPoolMaker,interface,292,1
org.quickserver.util.pool.thread,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\thread\ThreadObjectFactory.java,org.quickserver.util.pool.thread.ThreadObjectFactory,class,235,0
org.quickserver.util.pool.thread.app,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\thread\app\QSUncaughtExceptionHandler.java,org.quickserver.util.pool.thread.app.QSUncaughtExceptionHandler,class,71,1
org.quickserver.util.xmlreader,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\xmlreader\TrustStoreInfo.java,org.quickserver.util.xmlreader.TrustStoreInfo,class,1890,1
net.sourceforge.pmd.cpd,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\cpd\JavaTokenizer.java,net.sourceforge.pmd.cpd.JavaTokenizer$JavaTokenFilter,innerclass,167,0
net.sourceforge.pmd.lang.java,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\JavaLanguageModule.java,net.sourceforge.pmd.lang.java.JavaLanguageModule,class,20,0
net.sourceforge.pmd.lang.java.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\TypesFromAst.java,net.sourceforge.pmd.lang.java.ast.TypesFromAst,class,12385,1
net.sourceforge.pmd.lang.java.ast.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\internal\ReportingStrategy.java,net.sourceforge.pmd.lang.java.ast.internal.ReportingStrategy,interface,360,0
net.sourceforge.pmd.lang.java.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\internal\JavaLanguageHandler.java,net.sourceforge.pmd.lang.java.internal.JavaLanguageHandler$JavaMetricsProvider,innerclass,251,0
net.sourceforge.pmd.lang.java.javadoc,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\javadoc\JavadocTag.java,net.sourceforge.pmd.lang.java.javadoc.JavadocTag,class,54,1
net.sourceforge.pmd.lang.java.metrics,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\AbstractJavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.AbstractJavaOperationMetric,class,150,0
net.sourceforge.pmd.lang.java.metrics.api,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\api\JavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.api.JavaOperationMetric,interface,20,0
net.sourceforge.pmd.lang.java.metrics.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\WocMetric.java,net.sourceforge.pmd.lang.java.metrics.internal.WocMetric,class,530,1
net.sourceforge.pmd.lang.java.metrics.internal.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\visitors\TccAttributeAccessCollector.java,net.sourceforge.pmd.lang.java.metrics.internal.visitors.TccAttributeAccessCollector,class,350,0
net.sourceforge.pmd.lang.java.multifile.signature,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\multifile\signature\JavaSignature.java,net.sourceforge.pmd.lang.java.multifile.signature.JavaSignature,class,255,0
net.sourceforge.pmd.lang.java.rule,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\JavaRuleViolation.java,net.sourceforge.pmd.lang.java.rule.JavaRuleViolation,class,628,0
net.sourceforge.pmd.lang.java.rule.bestpractices,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\bestpractices\UseCollectionIsEmptyRule.java,net.sourceforge.pmd.lang.java.rule.bestpractices.UseCollectionIsEmptyRule,class,2880,0
net.sourceforge.pmd.lang.java.rule.codestyle,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryReturnRule.java,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryReturnRule,class,1796,0
net.sourceforge.pmd.lang.java.rule.design,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\UseUtilityClassRule.java,net.sourceforge.pmd.lang.java.rule.design.UseUtilityClassRule,class,1965,0
net.sourceforge.pmd.lang.java.rule.documentation,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\documentation\CommentSizeRule.java,net.sourceforge.pmd.lang.java.rule.documentation.CommentSizeRule,class,439,0
net.sourceforge.pmd.lang.java.rule.errorprone,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\UselessOperationOnImmutableRule.java,net.sourceforge.pmd.lang.java.rule.errorprone.UselessOperationOnImmutableRule,class,2328,0
net.sourceforge.pmd.lang.java.rule.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\internal\JavaRuleViolationFactory.java,net.sourceforge.pmd.lang.java.rule.internal.JavaRuleViolationFactory,class,184,0
net.sourceforge.pmd.lang.java.rule.multithreading,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\multithreading\UnsynchronizedStaticFormatterRule.java,net.sourceforge.pmd.lang.java.rule.multithreading.UnsynchronizedStaticFormatterRule,class,305,0
net.sourceforge.pmd.lang.java.rule.performance,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\performance\UseStringBufferLengthRule.java,net.sourceforge.pmd.lang.java.rule.performance.UseStringBufferLengthRule,class,1349,0
net.sourceforge.pmd.lang.java.rule.regex,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\regex\RegexHelper.java,net.sourceforge.pmd.lang.java.rule.regex.RegexHelper,class,61,1
net.sourceforge.pmd.lang.java.rule.security,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\security\TypeResTestRule.java,net.sourceforge.pmd.lang.java.rule.security.TypeResTestRule$State,innerclass,336,0
net.sourceforge.pmd.lang.java.rule.xpath.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\xpath\internal\TypeIsFunction.java,net.sourceforge.pmd.lang.java.rule.xpath.internal.TypeIsFunction,class,178,0
net.sourceforge.pmd.lang.java.symbols,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\SymbolVisitor.java,net.sourceforge.pmd.lang.java.symbols.SymbolVisitor,interface,1088,1
net.sourceforge.pmd.lang.java.symbols.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\internal\UnresolvedClassStore.java,net.sourceforge.pmd.lang.java.symbols.internal.UnresolvedClassStore,class,680,0
net.sourceforge.pmd.lang.java.symbols.internal.asm,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\internal\asm\TypeSigParser.java,net.sourceforge.pmd.lang.java.symbols.internal.asm.TypeSigParser$ParseFunction,interface,1314,0
net.sourceforge.pmd.lang.java.symbols.internal.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\internal\ast\SymbolResolutionPass.java,net.sourceforge.pmd.lang.java.symbols.internal.ast.SymbolResolutionPass,class,576,0
net.sourceforge.pmd.lang.java.symbols.table,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\JSymbolTable.java,net.sourceforge.pmd.lang.java.symbols.table.JSymbolTable,interface,101,0
net.sourceforge.pmd.lang.java.symbols.table.coreimpl,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\coreimpl\ShadowChainRoot.java,net.sourceforge.pmd.lang.java.symbols.table.coreimpl.ShadowChainRoot,class,909,0
net.sourceforge.pmd.lang.java.symbols.table.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\internal\SymTableFactory.java,net.sourceforge.pmd.lang.java.symbols.table.internal.SymTableFactory,class,878,0
net.sourceforge.pmd.lang.java.symboltable,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symboltable\VariableNameDeclaration.java,net.sourceforge.pmd.lang.java.symboltable.VariableNameDeclaration,class,1495,1
net.sourceforge.pmd.lang.java.typeresolution,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\PMDASMClassLoader.java,net.sourceforge.pmd.lang.java.typeresolution.PMDASMClassLoader,class,141,0
net.sourceforge.pmd.lang.java.typeresolution.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\internal\NullableClassLoader.java,net.sourceforge.pmd.lang.java.typeresolution.internal.NullableClassLoader,interface,56,1
net.sourceforge.pmd.lang.java.typeresolution.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\visitors\PMDASMVisitor.java,net.sourceforge.pmd.lang.java.typeresolution.visitors.PMDASMVisitor$PMDSignatureVisitor,innerclass,201,0
net.sourceforge.pmd.lang.java.types,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\WildcardTypeImpl.java,net.sourceforge.pmd.lang.java.types.WildcardTypeImpl,class,4581,1
net.sourceforge.pmd.lang.java.types.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\InternalMethodTypeItf.java,net.sourceforge.pmd.lang.java.types.internal.InternalMethodTypeItf,interface,66,1
net.sourceforge.pmd.lang.java.types.internal.infer,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\VarWalkStrategy.java,net.sourceforge.pmd.lang.java.types.internal.infer.VarWalkStrategy,interface,3315,0
net.sourceforge.pmd.lang.java.types.internal.infer.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\ast\SwitchMirror.java,net.sourceforge.pmd.lang.java.types.internal.infer.ast.SwitchMirror,class,429,0
org.apache.log4j,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\helpers\PatternParser.java,org.apache.log4j.helpers.PatternParser,class,4286,1
org.apache.log4j.config,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\helpers\PatternParser.java,org.apache.log4j.helpers.PatternParser$CategoryPatternConverter,innerclass,76,0
org.apache.log4j.helpers,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\net\SimpleSocketServer.java,org.apache.log4j.net.SimpleSocketServer,class,3586,1
org.apache.log4j.jdbc,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\net\SMTPAppender.java,org.apache.log4j.net.SMTPAppender,class,327,0
org.apache.log4j.net,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\ClassNamePatternConverter.java,org.apache.log4j.pattern.ClassNamePatternConverter,class,2241,0
org.apache.log4j.nt,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\DatePatternConverter.java,org.apache.log4j.pattern.DatePatternConverter,class,80,0
org.apache.log4j.or,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\FormattingInfo.java,org.apache.log4j.pattern.FormattingInfo,class,195,0
org.apache.log4j.or.jms,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\FullLocationPatternConverter.java,org.apache.log4j.pattern.FullLocationPatternConverter,class,38,0
org.apache.log4j.or.sax,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\IntegerPatternConverter.java,org.apache.log4j.pattern.IntegerPatternConverter,class,33,0
org.apache.log4j.pattern,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\rewrite\RewriteAppender.java,org.apache.log4j.rewrite.RewriteAppender,class,2860,0
org.apache.log4j.rewrite,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\spi\Configurator.java,org.apache.log4j.spi.Configurator,interface,376,0
org.apache.log4j.spi,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\varia\DenyAllFilter.java,org.apache.log4j.varia.DenyAllFilter,class,1684,1
org.apache.log4j.varia,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\WriterAppender.java,org.apache.log4j.WriterAppender,class,889,0
org.apache.log4j.xml,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\xml\XMLLayout.java,org.apache.log4j.xml.XMLLayout,class,634,0
org.apache.log4j.xml.examples,F:\detectionresult\project\log4j-trunk\src\main\javadoc\org\apache\log4j\xml\examples\XMLSample.java,XMLSample,class,102,0
org.apache.log4j.performance,F:\detectionresult\project\log4j-trunk\src\performance\java\org\apache\log4j\performance\SystemTime.java,org.apache.log4j.performance.SystemTime,class,347,1
junit.extensions,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\extensions,junit.extensions.TestSetup,class,143,0
junit.framework,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,class,911,0
junit.runner,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\runner\Version.java,junit.runner.Version,class,228,0
junit.textui,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\textui\TestRunner.java,junit.textui.TestRunner,class,192,0
org.junit,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\TestCouldNotBeSkippedException.java,org.junit.TestCouldNotBeSkippedException,class,665,1
org.junit.experimental,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\ParallelComputer.java,org.junit.experimental.ParallelComputer,class,18,0
org.junit.experimental.categories,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\categories\IncludeCategories.java,org.junit.experimental.categories.IncludeCategories$IncludesAny,class,394,0
org.junit.experimental.max,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\max\MaxHistory.java,org.junit.experimental.max.MaxHistory$TestComparator,class,295,0
org.junit.experimental.results,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\results\ResultMatchers.java,org.junit.experimental.results.ResultMatchers,class,118,0
org.junit.experimental.runners,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\runners\Enclosed.java,org.junit.experimental.runners.Enclosed,class,52,0
org.junit.experimental.theories,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\theories\Theories.java,org.junit.experimental.theories.Theories$TheoryAnchor,class,432,1
org.junit.experimental.theories.internal,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\theories\internal\SpecificDataPointsSupplier.java,org.junit.experimental.theories.internal.SpecificDataPointsSupplier,class,281,0
org.junit.experimental.theories.suppliers,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\experimental\theories\suppliers\TestedOnSupplier.java,org.junit.experimental.theories.suppliers.TestedOnSupplier,class,13,0
org.junit.function,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\function\ThrowingRunnable.java,org.junit.function.ThrowingRunnable,interface,31,0
org.junit.internal,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\Throwables.java,org.junit.internal.Throwables,class,616,0
org.junit.internal.builders,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\builders\SuiteMethodBuilder.java,org.junit.internal.builders.SuiteMethodBuilder,class,221,0
org.junit.internal.management,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\management\ThreadMXBean.java,org.junit.internal.management.ThreadMXBean,interface,270,0
org.junit.internal.matchers,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\matchers\TypeSafeMatcher.java,org.junit.internal.matchers.TypeSafeMatcher,class,156,0
org.junit.internal.requests,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\requests\SortingRequest.java,org.junit.internal.requests.SortingRequest,class,108,0
org.junit.internal.runners,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\runners\TestMethod.java,org.junit.internal.runners.TestMethod,class,564,0
org.junit.internal.runners.model,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\runners\model\ReflectiveCallable.java,org.junit.internal.runners.model.ReflectiveCallable,class,76,0
org.junit.internal.runners.rules,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\runners\rules\ValidationError.java,org.junit.internal.runners.rules.ValidationError,class,306,0
org.junit.internal.runners.statements,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\internal\runners\statements\RunBefores.java,org.junit.internal.runners.statements.RunBefores,class,324,0
org.junit.matchers,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\matchers\JUnitMatchers.java,org.junit.matchers.JUnitMatchers,class,78,0
org.junit.rules,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\rules\Verifier.java,org.junit.rules.Verifier,class,1677,1
org.junit.runner,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runner\Runner.java,org.junit.runner.Runner,class,1034,1
org.junit.runner.manipulation,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runner\manipulation\Sorter.java,org.junit.runner.manipulation.Sorter,class,530,1
org.junit.runner.notification,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runner\notification\SynchronizedRunListener.java,org.junit.runner.notification.SynchronizedRunListener,class,541,1
org.junit.runners,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runners\Suite.java,org.junit.runners.Suite,class,1173,0
org.junit.runners.model,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runners\model\TestTimedOutException.java,org.junit.runners.model.TestTimedOutException,class,876,1
org.junit.runners.parameterized,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\runners\parameterized\TestWithParameters.java,org.junit.runners.parameterized.TestWithParameters,class,236,0
org.junit.validator,F:\detectionresult\project\junit4-r4.13.1\src\main\java\org\junit\validator\TestClassValidator.java,org.junit.validator.TestClassValidator,class,274,0
